SEMANA,FECHA DE PROCESO,CODIGO,EAN,LÍNEA PRODUCCION,"DESCRIPCIÓN
ARTÍCULO",KILOGRAMOS EN PIE,KILOGRAMOS PROCESADOS,CANTIDAD DE CERDOS,UNIDADES CON DEFECTOS PROCESO,DEFECTOS PROCESO,UNIDADES CON DEFECTOS GRANJA,DEFECTOS GRANJA,ESTÁNDAR,RENDIMIENTO DE LÍNEA,PESO PROMEDIO EN PIE,PESO PROMEDIO PROCESADO,%CALIDAD,CANTIDAD DE PERSONAL,HORA DE INICIO,HORA DE FIN,HORA DE INICIO PARA,HORA DE FIN PARA,MOTIVOS DE PARADAS,HORAS DE PARAS NO PLANIFICADAS,HORAS DE PARAS PLANIFICADAS,HORAS PROGRAMADAS,HORAS PRODUCTIVAS,VARIACIÓN DE HORAS EN PRODUCCIÓN,UNIDADES/HORA,KILOS/HORA/HOMBRE,%DISPONIBILIDAD,%RENDIMIENTO,OEE
37,09/09/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,6911.1,5211.65,60,3,RABOS Y COLUMNAS FRACTURADAS,,,42,75.41%,115.185,8.686.083.333,0.95,39,8:00,9:50,,,,,,1.428.571.429,1.83,0.40,33,72.89,71.67%,77.92%,53.05%
37,09/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,18.721.053,15.123.953,180,5,RABOS Y COLUMNAS FRACTURADAS,,,40,80.79%,10.400.585,8.402.196.111,972.222.222,39,9:30,14:55,,,,,1,4.5,4.42,0.00,41,87.8,100.00%,100.00%,97.22%
37,10/09/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,6558.25,5007,60,3,RABOS Y COLUMNAS FRACTURADAS,,,42,76.35%,1.093.041.667,83.45,0.95,33,11:00,13:15,,,,,,1.428.571.429,2.25,0.82,27,67.43,42.50%,63.49%,25.63%
37,10/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,3528.7,2858.65,32,7,RABOS Y COLUMNAS FRACTURADAS,,,40,81.01%,110.271.875,893.328.125,78.125,33,12:47,14:16,,,,,1,0.8,0.48,0.00,66,179.23,100.00%,100.00%,78.13%
37,10/09/2026,PPRO000209,,REPRODUCTORA,PP CANAL CERDO EVISCERADO REPRODUCTOR/A,3088.6,2334,15,4,RABOS Y COLUMNAS FRACTURADAS,,,10,75.57%,2.059.066.667,155.6,733.333.333,33,13:55,15:20,,,,,,1.5,1.42,0.00,11,49.93,100.00%,100.00%,73.33%
37,11/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,19025.15,15029.8,180,4,RABOS Y COLUMNAS FRACTURADAS,,,40,79.00%,1.056.952.778,8.349.888.889,977.777.778,32,7:00,13:10,,,,,1,4.5,5.17,0.67,35,90.91,85.19%,87.10%,72.54%
37,12/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,16501.95,13427.5,150,7,RABOS Y COLUMNAS FRACTURADAS,,,40,81.37%,110.013,8.951.666.667,953.333.333,32,7:00,11:09,,,,,1,3.75,3.15,0.00,48,133.21,100.00%,100.00%,95.33%
38,14/09/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,6811.75,5248.85,60,2,RABOS Y COLUMNAS FRACTURADAS,,,42,77.06%,1.135.291.667,8.748.083.333,966.666.667,33,7:00,9:03,,,,,,1.428.571.429,02.05,0.62,29,77.59,56.50%,69.69%,38.06%
38,14/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,22115.9,17718.3,212,3,RABOS Y COLUMNAS FRACTURADAS,,,40,80.12%,104.320.283,8.357.688.679,985.849.057,33,8:35,15:20,,,,,1,5.3,5.75,0.45,37,93.38,91.51%,92.17%,83.15%
38,15/09/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,6574.15,4994.95,60,2,RABOS Y COLUMNAS FRACTURADAS,,,42,75.98%,1.095.691.667,8.324.916.667,966.666.667,33,8:00,10:20,,,,,1,1.428.571.429,1.33,0.00,45,113.52,100.00%,100.00%,96.67%
38,16/09/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,6912.25,5260.7,60,,,,,42,76.11%,1.152.041.667,8.767.833.333,1,33,7:00,9:00,,,,,,1.428.571.429,2.00,0.57,30,79.71,60.00%,71.43%,42.86%
38,16/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,12324.1,9955.65,120,4,RABOS Y COLUMNAS FRACTURADAS,,,40,80.78%,1.027.008.333,8.296.375,966.666.667,33,8:27,11:57,,,,,1,3,2.50,0.00,48,120.67,100.00%,100.00%,96.67%
38,17/09/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,6691.75,5089.6,60,,,,,42,76.06%,1.115.291.667,8.482.666.667,1,33,10:40,12:43,,,,,,1.428.571.429,02.05,0.62,29,75.23,56.50%,69.69%,39.37%
38,17/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,6635.45,5367.85,62,,,,,40,80.90%,1.070.233.871,8.657.822.581,1,33,8:15,10:35,,,,,1,1.55,1.33,0.00,47,122,100.00%,100.00%,100.00%
38,17/09/2026,PPRO000209,,REPRODUCTORA,PP CANAL CERDO EVISCERADO REPRODUCTOR/A,4035.3,3152,20,,,,,10,78.11%,201.765,157.6,1,33,,,,,,,,2,0.00,0.00,#¡DIV/0!,#¡DIV/0!,100.00%,0.00%,0.00%
38,19/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,25213.65,20004.6,240,4,RABOS Y COLUMNAS FRACTURADAS,,,40,79.34%,105.056.875,833.525,983.333.333,32,8:00,16:10,,,,,1,6,7.17,1.17,33,87.23,80.56%,83.72%,66.32%
39,21/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,20846.95,16965.75,180,9,RABOS Y COLUMNAS FRACTURADAS,,,40,81.38%,1.158.163.889,9.425.416.667,0.95,33,8:00,14:25,,,,,1,4.5,5.42,0.92,33,94.91,79.63%,83.08%,62.85%
39,22/09/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,7201.95,5514.7,60,,,,,42,76.57%,1.200.325,9.191.166.667,1,32,14:10,16:20,,,,,,1.428.571.429,2.17,0.74,28,79.54,48.33%,65.93%,31.87%
39,22/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,18672.55,14964,185,,,,,40,80.14%,1.009.327.027,8.088.648.649,1,32,8:02,15:28,,,,,1,4.625,6.43,1.81,29,72.69,60.90%,71.89%,43.78%
39,23/09/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,13805.2,10481.95,120,4,RABOS Y COLUMNAS FRACTURADAS,,,42,75.93%,1.150.433.333,8.734.958.333,966.666.667,31,12:05,15:38,,,,,,2.857.142.857,3.55,0.69,34,95.25,75.75%,80.48%,58.93%
39,23/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,13684.7,11014.7,121,5,RABOS Y COLUMNAS FRACTURADAS,,,40,80.49%,1.130.966.942,9.103.057.851,958.677.686,31,8:05,11:05,,,,,1,3.025,2.00,0.00,61,177.66,100.00%,100.00%,95.87%
39,23/09/2026,PPRO000209,,REPRODUCTORA,PP CANAL CERDO EVISCERADO REPRODUCTOR/A,4946.4,3803.55,22,,,,,10,76.90%,2.248.363.636,1.728.886.364,,31,15:45,17:20,,,,,,2.2,1.58,0.00,14,77.49,100.00%,100.00%,0.00%
39,24/09/2026,PPRO000099,5470,MOLINOS CHAMPION S.F,PP CANAL DE CERDO EVISCERADO,6829.2,5231.5,60,3,RABOS Y COLUMNAS FRACTURADAS,,,,,113.82,8.719.166.667,,31,12:00,13:56,,,,,1,,933.333.333,,6.428.571.429,180.81,,,
39,24/09/2026,PPRO000099,274,ENGORDE,PP CANAL DE CERDO EVISCERADO,3313.9,2.609.945,30,3,RABOS Y COLUMNAS FRACTURADAS,,,,,1.104.633.333,8.699.816.667,,31,13:30,14:43,,,,,,,1.216.666.667,,2.465.753.425,69.2,,,
